generation,max_fitness,mean_fitness,stdev_fitness
0,47.895206767585016,1.871446748757957,11.343762761408945
1,88.85379680945987,18.262304536093147,23.752737770121872
2,75.90624979919323,30.310868365482825,24.60277229978278
3,75.07041085661011,37.6706327530161,25.08046745199319
4,75.81261419415924,35.93158912300232,24.88861029037223
5,75.394197933704,43.22430056890993,22.894111923355233
6,91.75109579777981,49.67483726770819,22.199334342434966
7,89.97288973525116,47.027282269112696,22.983550762619863
8,75.90624979919323,42.415060435946934,24.048752794169364
9,91.5710957977798,51.305779367991676,23.554386814110984
10,75.96304739758637,48.05064511812183,25.775170020935807
11,75.95014399275047,52.464967855740085,25.325241589705936
12,91.09109579777981,52.35808092400283,25.522861675633536
13,91.21740496697306,53.859446209017285,24.90113135368807
14,91.75109579777981,55.40865412660965,23.60582079136029
15,91.3910957977798,55.539097255393756,22.31207455267291
16,75.94375419465169,57.31094481709783,21.560176963206924
17,89.23703951986408,56.20560089171353,24.253261461335935
18,91.6310957977798,60.958206717699234,20.62243156572288
19,91.81109579777979,54.55561228241132,25.17916083627174
20,91.63740496697307,54.06707496263911,24.93519498892905
21,91.33740496697307,53.01786780249367,24.84596796474133
22,90.8510957977798,58.96393652661096,23.27352854498388
23,91.93109579777979,61.226551928830986,20.949284335825286
24,91.81740496697306,59.122570276378426,24.671341290189392
25,91.63740496697307,54.87652321584015,25.71712817549048
26,91.81740496697306,54.43034673511193,28.593399900814134
27,91.87109579777979,61.288864404199494,26.102036880689553
28,91.75740496697307,58.02982859384025,27.63791577716385
29,91.81740496697306,59.962570129875964,25.585649162743287
